altura,altura_predita
114.9,113.786
115.4,117.83000000000001
113.9,115.95360000000001
109.5,111.29199999999997
128.05,122.78599999999999
119.8,116.6032
117.3,110.44800000000001
109.4,107.82600000000001
118.9,117.25960000000003
113.65,117.35280000000003
112.9,110.8044
116.0,114.70560000000003
102.7,106.10839999999999
103.75,106.1224
117.25,111.80080000000002
117.4,119.12400000000004
102.6,106.604
117.05,114.58759999999998
103.45,106.23440000000001
104.35,101.68800000000003
99.8,103.8056
101.15,103.056
102.75,99.71260000000001
102.8,100.44940000000001
107.65,103.5724
115.3,118.516
114.35,113.09359999999998
111.15,110.55
106.05,108.31520000000005
100.95,101.46960000000001
100.69,102.06119999999999
100.1,101.0728
109.95,111.07999999999998
109.11,108.48600000000002
109.4,110.788
115.9,113.80749999999998
105.8,101.77599999999998
104.9,103.29800000000002
114.7,116.39079999999996
102.85,105.07800000000003
119.9,117.45400000000005
112.9,111.442
113.35,111.27600000000004
98.32,104.08960000000003
110.85,110.47
114.1,111.34000000000002
115.1,114.77959999999999
101.4,101.43599999999998
114.45,117.15440000000001
121.65,119.54950000000001
109.6,104.83840000000002
101.2,103.10999999999999
108.1,112.04
114.0,109.52200000000002
109.8,111.72999999999998
101.0,102.976
113.15,116.68599999999998
94.85,100.31460000000001
119.55,115.84000000000002
117.5,120.46500000000002
110.7,111.7448
114.3,114.28600000000002
111.55,112.50399999999998
102.5,106.73200000000003
113.72,116.8908
116.75,111.27000000000002
115.4,110.96000000000002
117.8,116.05799999999999
109.05,109.71800000000002
109.5,103.582
103.76,107.738
108.25,106.624
119.45,119.74
108.25,106.2832
113.37,115.56160000000001
128.35,122.55600000000003
126.05,127.244
108.1,112.26639999999998
120.5,116.262
116.75,116.86549999999997
109.5,113.51800000000001
120.0,117.59249999999999
121.1,118.79800000000002
117.8,116.03
114.9,116.28880000000001
116.8,117.58200000000002
121.35,115.57369999999999
113.66,112.84599999999999
110.95,110.95000000000002
104.0,106.06840000000003
105.05,103.20720000000003
111.45,111.05800000000004
108.25,105.64480000000002
110.7,112.0908
108.35,115.4848
108.25,110.23
119.2,118.09359999999997
114.25,112.17550000000001
118.1,120.76800000000001
106.25,102.78600000000004
115.8,112.098
115.9,118.944
115.7,117.60000000000002
101.6,100.98539999999997
119.5,116.62800000000001
114.5,114.96599999999997
115.5,114.241
113.3,112.1508
106.5,104.99199999999999
107.2,112.4592
115.25,119.10850000000003
114.6,116.67199999999998
104.0,114.65960000000001
118.65,120.79450000000001
114.1,115.63850000000001
119.9,118.28649999999998
112.2,111.11399999999999
114.4,119.40600000000002
114.3,110.80599999999998
110.0,108.07199999999997
113.85,117.56800000000003
115.15,113.36679999999998
108.55,110.33000000000001
110.1,112.17800000000001
127.0,125.76800000000001
121.8,123.66
110.35,109.04400000000004
105.7,107.28200000000001
119.75,117.28800000000005
102.4,103.93
105.5,106.58120000000002
112.55,114.04400000000001
108.0,108.38480000000001
112.5,110.93400000000003
117.05,116.18399999999998
109.3,114.094
110.55,113.0545
107.9,109.53399999999998
106.65,109.37200000000001
111.6375,115.67199999999998
121.5,117.03999999999996
115.55,118.05449999999998
103.25,104.66140000000003
113.1,113.308
110.9,112.444
105.05,105.63200000000005
112.0,105.71400000000003
109.5,112.65200000000003
107.5,109.2248
104.35,102.14920000000001
115.55,113.60549999999999
114.9,117.06049999999999
110.4,105.86399999999999
116.35,115.40099999999998
115.6,118.37000000000002
101.25,104.13000000000004
99.75,101.48040000000003
119.2,121.16600000000003
110.15,111.912
113.35,110.36800000000001
118.3,118.1665
102.1,104.78120000000001
124.3,117.40249999999997
102.65,102.61859999999999
115.4,113.366
109.8,109.91679999999998
121.2,116.93230000000001
111.95,112.04799999999999
98.995,102.1928
102.05,98.20399999999998
96.6,99.26799999999999
120.0,117.11200000000004
103.15,104.064
115.15,111.44600000000004
105.8,108.02800000000003
123.0,123.12
112.2,110.81
109.8,108.69
104.9,107.348
121.4625,117.26400000000004
105.45,111.322
109.45,111.89399999999999
112.05,111.88719999999999
106.65,102.835
116.85,114.008
115.2,109.59400000000001
121.4,119.20800000000003
118.5,115.98560000000003
110.35,111.27400000000002
109.75,111.57199999999999
117.65,117.22550000000001
121.0,124.71000000000002
104.5,103.64600000000002
110.65,111.28999999999998
128.7,125.15800000000002
114.0,111.45000000000002
108.85,108.866
111.05,110.00399999999998
105.9,103.7136
