altura,altura_predita
114.9,112.75799999999998
115.4,118.76199999999999
113.9,117.45200000000003
109.5,111.34199999999998
128.05,121.57399999999996
119.8,112.61799999999998
117.3,111.816
109.4,108.9632
118.9,116.29050000000005
113.65,114.59200000000001
112.9,109.64240000000001
116.0,112.301
102.7,104.92400000000002
103.75,107.088
117.25,116.3
117.4,115.81
102.6,102.43000000000002
117.05,112.41599999999998
103.45,106.392
104.35,104.17599999999999
99.8,104.37199999999999
101.15,103.29980000000002
102.75,101.94580000000002
102.8,103.914
107.65,105.66999999999999
115.3,114.72679999999997
114.35,115.1723
111.15,112.79199999999999
106.05,110.62920000000004
100.95,102.26
100.69,105.78319999999998
100.1,98.85539999999999
109.95,109.94640000000001
109.11,108.68000000000004
109.4,110.294
115.9,111.14639999999997
105.8,104.49040000000002
104.9,102.28400000000002
114.7,114.18080000000002
102.85,104.39199999999997
119.9,118.52
112.9,110.56040000000002
113.35,111.93800000000002
98.32,99.67299999999999
110.85,111.11240000000002
114.1,111.69000000000001
115.1,116.96999999999998
101.4,101.27600000000001
114.45,117.88400000000001
121.65,118.23999999999997
109.6,106.71400000000001
101.2,103.01920000000001
108.1,113.41400000000002
114.0,111.03199999999998
109.8,113.4104
101.0,102.50000000000001
113.15,114.69720000000001
94.85,99.04959999999996
119.55,118.64450000000001
117.5,118.69800000000001
110.7,109.9084
114.3,114.96200000000003
111.55,112.2624
102.5,106.4756
113.72,113.84199999999998
116.75,111.01880000000001
115.4,112.36499999999998
117.8,114.82760000000003
109.05,107.61200000000002
109.5,108.286
103.76,106.52799999999999
108.25,109.18919999999997
119.45,120.41450000000003
108.25,105.13799999999998
113.37,114.25799999999998
128.35,124.12200000000003
126.05,124.13399999999997
108.1,107.0924
120.5,118.21080000000003
116.75,114.66550000000002
109.5,112.33879999999998
120.0,117.96
121.1,119.25500000000002
117.8,118.3125
114.9,114.729
116.8,116.82400000000001
121.35,113.67099999999996
113.66,109.23640000000002
110.95,110.766
104.0,105.2384
105.05,101.30939999999998
111.45,108.64240000000001
108.25,106.52600000000001
110.7,112.4875
108.35,112.10749999999999
108.25,107.1452
119.2,116.66000000000004
114.25,111.65400000000001
118.1,120.39250000000001
106.25,103.57600000000001
115.8,110.94600000000003
115.9,116.00399999999999
115.7,117.51
101.6,101.3692
119.5,117.376
114.5,115.45000000000003
115.5,115.20349999999999
113.3,114.65200000000003
106.5,103.92200000000001
107.2,108.22080000000001
115.25,115.60000000000002
114.6,116.2968
104.0,113.28000000000002
118.65,119.49000000000002
114.1,118.77400000000002
119.9,117.714
112.2,108.6288
114.4,115.10799999999998
114.3,113.13149999999997
110.0,107.6224
113.85,116.26200000000003
115.15,113.52049999999997
108.55,111.45000000000003
110.1,113.32
127.0,127.69199999999995
121.8,121.851
110.35,106.25799999999998
105.7,105.8072
119.75,117.62650000000002
102.4,103.55999999999996
105.5,104.84240000000001
112.55,112.39350000000002
108.0,108.5944
112.5,111.65199999999999
117.05,115.91550000000002
109.3,109.13279999999999
110.55,111.08799999999998
107.9,110.99400000000001
106.65,110.61600000000003
111.6375,114.97200000000001
121.5,119.77000000000002
115.55,115.668
103.25,105.3136
113.1,119.63200000000002
110.9,110.15200000000003
105.05,109.36399999999999
112.0,112.40759999999999
109.5,110.4924
107.5,107.59200000000001
104.35,105.4756
115.55,116.396
114.9,118.54250000000002
110.4,111.84000000000002
116.35,115.52600000000002
115.6,120.40400000000004
101.25,103.99640000000004
99.75,102.546
119.2,124.02000000000002
110.15,111.4804
113.35,113.10360000000004
118.3,119.95800000000001
102.1,105.40400000000001
124.3,121.7265
102.65,104.16000000000003
115.4,112.60759999999999
109.8,111.95039999999999
121.2,117.95400000000001
111.95,113.7772
98.995,101.07759999999999
102.05,101.75800000000001
96.6,98.24219999999997
120.0,117.6045
103.15,103.5396
115.15,113.42330000000001
105.8,105.42840000000002
123.0,121.94400000000003
112.2,111.7948
109.8,107.494
104.9,105.77199999999998
121.4625,119.098
105.45,106.46400000000003
109.45,112.83
112.05,109.78550000000001
106.65,102.65400000000004
116.85,116.49200000000002
115.2,113.44150000000002
121.4,120.37750000000001
118.5,115.0588
110.35,114.71550000000005
109.75,111.90950000000001
117.65,116.85849999999999
121.0,122.08400000000002
104.5,105.25600000000003
110.65,112.74200000000002
128.7,123.72400000000002
114.0,113.58229999999999
108.85,109.5984
111.05,110.12119999999999
105.9,106.61399999999998
